pattern,pilot
N,NPZCs
A N,durational cues
A N,Total anger
N,fear-nofear
N,EmoDS-MLE
N,asurrogate
A,separable
N,foreignness
A,audio
A,neutral
N,noun
N,parameters
N,nodes
R,manually
A,linguistic
A N,facial expressions
R,randomly
N,intensity
N,jitter
N,sadness
N,accuracy
N,compression
N,database
A N,human emotions
N,data
A,state-of-the-art
A,respective
R,negatively
N,coherence
A,statistical
A,manual
N,layer
N,features
N,intuition
N,synonyms
A,nominal
A,gradient
N,disgust
N,probability
N,input
A,implicit
N,experiments
N P N,meaning of words
A N,key component
N,deviation
N,frequency
A,explicit
N,boredom
N P N,state of the art
N,variance
N,model
A,random
N N,test result
N,happiness
A,negative
A,expressive
N,dialogue
N,domain
A,intrinsic
R,explicitly
N,duration
A,distinct
N,BERT
A,indicative
A,coherent
R,implicitly
N,graph
N N,pilot study
A,disgusted
R,uniformly
N,prediction
N,speaker
N,empathy
A,evocative
N,component
N,anger
N,dimension
N,feasibility
N,sentiment
N,tokens
N,precision
N,method
N,anticipation
N,partition
A,frequent
N,Contentment
N,vocabulary
A N,traditional methods
N,labels
N,framework
N,variable
N,representation
N,recall
A,ambiguous
N,Pearson
A,heartbroken
N,dejection
N,retrain
N,convergence
N,frame
N,seed
A,joyful
A,absolute
N,samples
A,positive
N,sequence
N,sentence
A,sullen
N,output
N,cluster
N,pitch
N,sensations
N,content
N,generation
N,syllables
A,crying
N,bias
A,bored
N,training
R,emotionally
A,inconsistent
A,noisy
A,unseen
N,mood
N,loneliness
N,surprise
A,annoyed
A,devastated
N,markers
A,identical
N,ROUGE
A,overwhelming
A,greedy
A,golden
N,fear
A,shocked
A,sensitive
A,angry
A,frustrated
A,correct
R,nervously
A,excited
N,voice
N,constituents
N,contrast
N,recordings
A,confused
N,exaggeration
N,attention
A,intense
N,noise
A,gloomy
A,unclear
N,rage
A,unsuitable
N,jealousy
A,realistic
N,discrimination
A,awesome
N,sensitivity
A,happy
N,library
N,impulse
N,significance
N,manner
N,engagement
N,anxiety
N,weights
N,affection
N,agreement
N,SNoW
N,feelings
A,Normal
N,personality
N,grief
N,sorrow
N,disbelief
N,contempt
N,fury
N,scripts
A,costly
N,patient
N,distress
N,encouragement
N,silence
N,ecstasy
R,invariably
A,tired
N,factor
N,guilt
N,trust
N,laugh
N,pride
N,shame
N,inspiration
N,love
N,checks
N,penalty
N,Gain
N,styles
N N,AANN model
N,HMM
A A N,Conventional Prosodic Feature
N,GCI
N,LPC
N N,NLP application
N,CNN
N,RNN
A N N,high SNR region
N N,LPCC component
N N,PLP coefficient
N N,LFPC component
N N,SVDPPMI embedding
A N A N,Linear Prediction Cepstral Coefficient
N N,NLP task
N,wLPCC
N,URL
N N,LPC coefficient
N N,BWS annotation
A N N,Glottal Closure Instant
N,VAE
N P N,Results with GRNN
A N,EmoLexWAL row
N N,MFCC coefficient
N N,BLEU score
N N,EmoLexGI row
N N N,Weibo post-response pair
A A A N,Syntactic Story-related Orthographic Conjunction
N A N,Frequency Cepstral Coefficient
A N N,traditional ECE method
N P N N,Range of story progress
N N,Context window
N N,AMT worker
N N,Emotion-Channel association
N,SVM
N,DNN-HMM
N,CRF
N,MSF
N,NPZC
A N,automatic evaluations
A N,human evaluations
A N,male emotions
A N,female emotions
A N,explicit manner
A N,implicit manner
A N,dull responses
A N,generic responses
A N,mental health
A N,physical health
N,annotation
N,corpu
N,annotator
N N N,emotion detection experiment
N N N,emotion detection model
A N,basic emotion
N,emod
N N N,speech signal feature
N,hashtag
A N,emotional category
N N,emotion annotation
N N N,excitation source feature
N N,target term
N N,dialogue system
N N,word embedding
N N N,word embeddings model
A N,primary emotion
A N,emotional word
A A N,strong emotional word
N N,affect lexicon
N N,seed word
A N,experimental result
A N N,limited seed lexicon
N N,emotion expression
A N N,non-verbal emotion expression
A N N,complicated emotion expression
A C A N,automatic and human evaluation
N,turker
A N,selected feature
N,grnn
N N,emotion label
A N,emotional label
N N,emotion type
N N,intensity score
A N N,gold intensity score
N N,aann model
A N,relevant feature
N,bigram
N,unigram
A N,non-verbal channel
N N,feature group
N,keyword
A N,generative model
N,mfcc
N,hmm
N N,emotion dimension
A N N,primary emotion dimension
N A N,default emotional shade
N N,classification task
A A N,recurrent neural network
N N,head word
N P A N,set of basic emotion
N N,recognition result
N N N,recognition accuracy result
N,adverb
A N,prosodic feature
A A N,conventional prosodic feature
A N,conversational agent
N N,speech feature
A N N,selected speech feature
A N,spatial relation
N,sgn
N N,induction algorithm
N N N,lexicon induction algorithm
N N,emotion hashtag
A N,human annotation
A N N,non-verbal communication channel
N,affective tweet
N N,body movement
N N,language stage
A N N,historical language stage
N N,emotion theorie
N,gci
A N,acoustic feature
A N,hidden layer
A N,explicit emotion
A N,native speaker
A N,emotional sentence
N,epoch
N,4-tuple
N,sub-task
N N,word vector
N N,text-to-speech synthesi
A N N N,neutral speech aann model
N N,pilot experiment
A N,physical sensation
N N,dialog system
A N,fine-grained emotion
N,iteration
N N,sentiment score
A C A N,male and female emotion
N P N N,sets of seed word
A N,meaningful response
N,lpc
N N,emotion studie
N P N,types of emotion
A N P N,fine-grained types of emotion
N N,vad dimension
N N,recombination type
A N,automated metric
N,chatbot
A N,discrete category
N N,nlp application
A N N,practical nlp application
N P N,quality of annotation
A N,emotional connotation
N N,word n-gram
N N,valence emotion
N N,classification result
N N,speech characteristic
A N,neutral word
A N N,automatic storytelling system
A N P N,weighted sum of embedding
N P N N,channels of emotion expression
N,cnn
A N,human annotator
N,hearer
N,fitness-value
N N,regression algorithm
N P N,percentage of time
A N,affective norm
N,rnn
N,rmd
N N,speech segment
A N N,pretrained language model
A N,neutral sentence
N,derivation
N P N,result of the experiment
N,interjection
A N N,high snr region
A N,emotional utterance
N N N,language generation system
N P N,model of emotion
A N P N,categorical model of emotion
A N,emotional response
A N N N,natural language generation system
A N P N,semantic orientation of word
A A N,exact textual position
A N,computational linguistic
N N,voting result
A N N,human voting result
N A N,energy related feature
N N,lpcc component
A N,diachronic experiment
N N,plp coefficient
N N,lfpc component
N N,svdppmi embedding
A A N N,large pretrained language model
A N A N,linear prediction cepstral coefficient
N P N,distribution of emotion
N N,affect categorie
A N,engaging response
A N,alternative approach
N N,real-world scenario
N N,globe feature
N,evaluator
A N,human subject
N P N,descriptions of character
N N,character emotion
N P N,recognition of emotion
A N P N,automated recognition of emotion
N N,error plot
A N,emotional variation
N N,character n-gram
N N,correlation score
N,helplessnes
A C A N,dull and generic response
A A N,raw audio sample
A N,spontaneous emotion
N N,generation los
N N,energy contour
N N,multi-label model
N,emoji
A N,human rating
N,artifact
N N,production rule
N P N N,set of cause clause
N N,nlp task
A N,spectral feature
N P N,classification of emotion
N N,emotion relation
A N,online classifier
A N,erroneous annotation
N N,polarity lexicon
N N,energy feature
N,lstm
A N,linguistic feature
A N P N N,non-verbal channels of emotion expression
N N,channel annotation
N,wlpcc
N N,rating scale
N N,truth response
A N P N,potential pairs of emotion
N,construct
N,centroid
A N,fine-tuned model
A N,human reference
N,url
N N,confidence interval
A N,historical text
N N,lpc coefficient
A N,female speaker
A N,emotional state
N,hyper-parameter
N N,bws annotation
N N,ece corpu
N C N N,interaction and emotion co-occurrence
A N N,neutral speech model
N P A N,pair of distinct items
A N,linguistic pattern
N A N,mel-frequency cepstral coefficient
A N,acoustic model
A N N,glottal closure instant
A N,characteristic parameter
A N,gold rating
N N,training sample
A N,embedding-based metric
A N,propositional statement
N,vae
A N,major dimension
N P A N,notion of basic emotion
A N,lexical resource
A N,hashtagged word
A N,reasonable result
N N,task setting
N P N,results with grnn
A N,linguistic cue
A N,special token
A N,main categorie
N,microblog
A N,emolexwal row
A N,non-acted emotion
A N N,gender-specific emotion recognizer
A N P N,emotional affinity of sentence
A N,affective content
A N N,independent clause representation
N,timespan
A N P N N,larger number of affect lexicon
N N N N,log frequency power coefficient
N N,feature type
N N,mfcc coefficient
N N,bleu score
A N,content word
N N,body channel
N P N,meaning of the sentence
A N,virtual agent
A N,affective response
A N,multiple clause
N N,lexicon feature
A N,anonymous reviewer
N N,system developer
N N,emolexgi row
A N,automatic algorithm
A N N,historical language expert
A N P N,extensive analysis of the annotation
A N,literary text
N P N,entries of word
N P N,recognizability of emotion
N N,performance figure
N N,reference model
N N,speech system
N N N,weibo post-response pair
N N,mfcc component
A N,lexical list
A N,nuanced emotion
A N,out-of-core classifier
A N,similar observation
N N N,ground truth response
A A A N,syntactic story-related orthographic conjunction
N N,system variant
N P N N,list of cause candidate
A N N N,vocal tract system feature
A A N N,finer emotional meaning distinction
A N,diachronic setting
N N,extraction procedure
N N,activation function
A N N,deep learning method
A N N,higher readability score
A N,small dataset
A N,semantic task
A N,emotional profile
A N,subsegmental feature
A A N,gender-independent male emotion
A N,baseline result
N N,feature subset
N P N,amount of individual
A N,gender-dependent feature
A N A N,male emotions female emotion
A N N,lower activation state
N P N,sets of ranking
R A N,emotionally relevant response
N N N,training error plot
A N,lexical semantic
N N,sentence embedding
N N,feature stream
A N,similar item
A N,vocal cue
N P N,sets of score
N A N,frequency cepstral coefficient
N N,speech sample
N,emoticon
A N N,traditional ece method
A N,automatic method
A N,valid assignment
N N,accuracy rate
N N,joy term
N,co-occurrence
N N,sptrel sen
A N,hidden unit
A C A N N,full and limited seed lexicon
N N,context window
N P N N,set of emotion clause
N N N,word choice problem
N P N,types of database
N C N N,content and emotion level
N C N N,training and development set
A N,negative emotion
N,perturbation
A N,commonplace response
A N N N,natural language understanding task
N P A N,results of the pairwise comparison
N C N N,pitch and energy contour
A N,experimental setting
N N N,feature quantization method
A N,distributional semantic
N,kera
N N,word rating
N P A N,intensity of the emotional experience
N C A N,features and structural feature
A N,pitch-related feature
N N N,candidate emotion-cause pair
N N,ablation test
A N,linear unit
A N,wide application
A N,chosen emotion
N N,sgns embedding
A N,automatic system
N N,output word
A N,conversational partner
N N,word representation
A N,affective state
N N,parameter setting
N N,emotion pair
A N,intense emotion
N C N N,emotion and cause event
N,f-score
N P N,types of feature
N N,amt worker
N N,distance formula
N N,training detail
N P N N,description of character emotion
A N,prototypical emotion
N N,evaluation script
A N N N,conventional emotion speech feature
N,retweet
N N,user querie
N P N,diversity of response
N N,anger term
N N,emotion-channel association
A N,dimensional vector
A N,gold annotation
N,utterance
N,metric
N N,emotion transition
N,participle
N,multi-word
N,parenthesis
N P N,average of all run
N,viseme
N,ngram
A N,individual sub-task
N,svm
A N,complete annotation
N,dnn-hmm
A N,context-dependent semantic
A N,combinatorial mathematic
N,psychophysic
A N,variational autoencoder
N,crf
N,ponym
N,near-synonym
N,modal
N,interrelation
N,emotioni
N,scalar
N,lpcc
N,eigenvector
N,resonator
N,ineffectivenes
A N,state-of-the-art method
N,crowdworker
A N,quality feature
N,msf
N,vertex
N,ideogram
A N,valid representation
N N,band energie
N N,slide bar
N,distractor
N,preposition
N,high-pas
N C A N,gestures and bodily posture
A,angry-anxiou
N,smiley
N,bi-lstm
A,n-candidate
N,npzc
A N,durational cue
N,parameter
N,node
A N,facial expression
A N,human emotion
N,datum
N,feature
N,synonym
N,experiment
N P N,meaning of word
N,token
A N,traditional method
N,label
N,sample
N,sensation
N,syllable
A,cry
N,bia
N,marker
N,constituent
N,recording
N,weight
N,feeling
N,script
N,check
N,style
A N,male emotion
A N,female emotion
A N,dull response
A N,generic response
N N,emotion recognitions
A N,emotional recognitions
A N N,speech-based emotion recognitions
A N N,automated emotion recognitions
N N N,speech emotion recognitions
N N N,emotion recognition systems
A N N,uncompensated emotion recognitions
A N N,automatic emotion recognitions
N N N,emotion recognition methods
N N N,emotion recognition tasks
N,corpora
N,vectors
N N,data sets
N,classifiers
N,algorithms
N,valences
A N,emotional speeches
N N,feature vectors
N N N,feature vector quantizations
A N N,37-dimensional feature vectors
N N,emotion detections
N N N,emotion cause detections
A N N,automatic emotion detections
N N,emotion extractions
N N N,Emotion cause extractions
N N N,emotion extraction tasks
N,EmoD
N N,speech signals
N N,emotion categories
N N,gender detections
A N N,automatic gender detections
N N,emotion classifications
N N N,emotion classification methods
N N,emotion intensities
N C N P N,intensity or degrees of emotion
N N,excitation sources
N N N,excitation source informations
N N N,excitation source components
N,arousals
N N,training datas
A N N,interactive dialogue systems
A N N,emotional dialogue systems
A N N,vocal tract systems
N,MFCCS
N,recognizers
N,polarities
N,subsets
N N,feature sets
N,realizations
N,LSTMs
N N N,WordNet Affect Lexicons
N,behaviors
N N,recognition systems
A,binaries
A N,shared tasks
N N N,Seed Word Selections
N N,recognition rates
A N N,class-wise recognition rates
A N N,average recognition rates
N N,feature extractions
N N,feature selections
N N N,feature selection techniques
N N,extraction tasks
A N N N,gender-independent emotion recognition systems
A N N N,basic emotion recognition systems
N N,seed lexicons
A N N,full seed lexicons
N N,test sets
A N,emotional expressions
N,formants
A,seq2seqs
N N,ECPE tasks
N N,query terms
N N N,Hashtag Query Terms
N N,emotion-cause pairs
N N N,emotion-cause pair extractions
A N,hidden states
A A N,previous hidden states
N,LPCCS
N,Inter-ECs
N,multi-tasks
N N,multi-label tasks
N P N,intensities of emotion
N,COHAS
N,LFPCS
N N,training sets
A N N,limited train sets
N N N,Training set sizes
A N,future works
N N,emotion classifiers
A N N,sequence-level emotion classifiers
N,Inter-CEs
A N,distant supervisions
N P A N,labels of non-verbal emotion
N N,emotion models
A N N,PNN-based emotion models
N,BLEUS
N N,compensation transformations
A N N,nonlinear compensation transformations
N N,time steps
N N,gender informations
A N N,correct gender informations
N,SVDPPMIS
A N,Linear Predictions
A,discretes
N,amplitudes
A N,deep learnings
N N N,word emotion inductions
N N,recognition accuracies
N P N N,accuracies of the emotion recognition
N,decoders
N,readabilities
N N,ground truths
A N,semantic orientations
A A N,negative semantic orientations
A A N,positive semantic orientations
N N,emotion lexicons
A N N,external emotion lexicons
A N,historical languages
A N,lexicon-based attentions
A N,human judges
N N,sentiment analyses
N N,response generations
A N,outer sets
A A N,intermediate outer sets
A N N,natural language generations
N,setups
N,feelers
N N,feature engineerings
N N,development sets
N N,gold standards
A N N,historical gold standards
N N,dialogue managers
N N,input posts
A N,General Inquirers
N N,attention mechanisms
A N N,lexicon-based attention mechanisms
A N,emotional meanings
A N,emotional shades
A N,seq2seq frameworks
N N,emotion processings
N N,majority classes
N N,evaluation models
A N N,automatic evaluation models
N C N N,extraction and cause extractions
N,encoders
N,activations
N N,classification accuracies
N N,emotion keywords
N,chatbots
N P N,sets of emotion
N N,emotion sets
N P A N,sets of basic emotions
A,observeds
A,4-tuples
A N,specific emotions
A,gender-independents
A N,F1 scores
A N N N,vocal tract system informations
A,sequentials
N N N,word choice questions
N N,Pearson correlations
N N,emotion scores
N,validations
N N,emotion clauses
N N,compression layers
N,dialogs
N N,machine translations
A N N,neural machine translations
A,superviseds
N,SGN
N N,speech recognitions
N A N,Speech Emotional Recognitions
A N N,automatic speech recognitions
N P N,states of the speaker
A N P N,emotional states of speakers
A,discriminatives
N N,intensity levels
N N,LP residuals
A,numericals
N N,thesaurus categories
A N,lexical items
N,residuals
A N,human judgments
N,lexicons
N N,case frames
A,synchronics
A N,empirical studies
N,affective tweets
A N,contextual informations
N,CECGS
N N,emotion definitions
A,evaluatives
N P N,theories of emotion
A N P N,psychological theories of emotion
N N,regression models
N N,vector quantizations
N,Emo-prepends
N,GCes
N,regularizations
N N,sentence plannings
A N,best-worst scaling
N N,evaluation periods
N N,output layers
A N,explicit emotionss
N,preprocessings
A N,semantic frames
N N,word vectorss
N N,texts-to-speech synthesis
N,Bravo-Marquezzes
N N,emotion representations
N N,emotion features
A,384-dimensionals
N,prosodies
N N,output probabilities
N,subcorpora
A N N,traditional ECE tasks
A N,baseline models
N N,Multi-task Learnings
N N,emotion informations
A N,emotional informations
A N,Individual Emotions
N N,annotation studies
N,dropouts
A A N,Convolutional Neural Networks
N,perplexities
N N,classification problems
A N N,binary classification problems
N N,machine learnings
A N N,text-based emotion predictions
A N,genetic algorithms
N A N,Multi-Criteria Genetic Algorithms
A A N,multi-objective genetic algorithms
A N,final positions
A N,relative improvements
N N,classification terms
N N N,emotion classification terms
N N,test utterances
A N N N,vocal tract system components
N N,multi-label problems
N N,word similarities
N C N N,emotion and sentiment recognitions
N P N,attitudes of the speaker
A N,binary classifications
A N,emotional attitudes
A N,random samples
N N,amplitude powers
A N N,average amplitude powers
A N,contemporary languages
A N,Pareto sets
N P N,orders of magnitude
A,hierarchicals
A N,automatic emotions
A,best-worsts
N P N,annotations of emotion
N P A N,databases of emotional speech
N N,dialogue datasets
A N N,Empathetic Dialogue datasets
N,RastaPLPs
N P N,degrees of emotion
A N,dependent views
A N,independent views
A,categoricals
N N,recognition methods
N N,processing times
A,nonlinears
N N,emotion predictions
N N,annotation projects
N N N,data annotation projects
N N,LP models
N P N,qualities of annotations
N N,input sentences
N N,word n-gramss
N N,parameter tunings
N,quartiles
A N,37-dimensional features
A N,lexical contents
A N,open domains
N N,recall rates
A A N,stochastic gradient descents
A A N N,Convolutional Neural Network models
A N,compositional representations
A N,baseline systems
N N N,emotion speech databases
A N N,emotional speech databases
A,booleans
N N N,Naïve Bayes classifiers
A N,neutral wordss
N N,world models
A,predictives
N V A,word is closests
N N,development datas
R,empiricallies
A N,weighted sums
A N P N,weighted sums of embeddings
N P N,kindss of emotion
N,EmoEmbs
N P N N,channelss of emotion expressions
A N,lower layers
A N,random forests
N N,BOW approaches
A A N N,simple content BOW approaches
N N,softmax layers
N,reproducibilities
N N,evaluation methods
A N,forward selections
A,non-emotionals
N,mappings
N N,emotion vectors
N P N,partss of speech
A N,maximum pitches
A,uncompensateds
A,speaker-specifics
A N,glottal closures
A N N,natural language processings
N N N,support vector machines
A N,psychological theories
N P N,percentages of times
N C N N,arm and hand gestures
A N,emotional distances
A N,fundamental frequencies
N N,vocabulary sizes
N C N N,gender and emotion recognitions
A N,random walks
N,RMD
N N,speech rates
N,requesters
N N,likelihood probabilities
N P N,results of the experiments
N N,judgment models
A N,clause-level Bi-LSTMs
A N,raw audios
A,semantics
N N,generation systems
A,Inter-EC-Bounds
N P N,models of emotions
A N P N,categorical models of emotions
A N P N,Semantic orientations of words
A N,negative samplings
A N,cartesian product
A N N,highest recognition rates
A N,sequential models
A N N,full test sets
N N,precision scores
N N,language periods
N N,feature spaces
R,temporallies
N N,extraction performances
N P N N,performances of emotion extraction
N N,Mel frequencies
A N,original datasets
A N,standard deviations
N,subtypes
A N,enumerative representations
N,heatmaps
N,CGMMS
N N,multi-label classifications
N N,log energies
N P N,distributions of emotions
N N,emotion distributions
A N,main contributions
A C A N,explicit or implicit manners
A N,affective meanings
A N,situational contexts
A N,linguistic analyses
A A N,in-depth linguistic analyses
N C A N,source and vocal tracts
N N,sentence levels
A N,cross-entropy errors
A N N,virtual training environments
A N,human subjectss
N N,VAD lexicons
A N,subjective natures
N P N,descriptionss of characters
A N N,causal relation detections
N N,character emotionss
A N,dynamic ranges
N N,word senses
A N,negative seeds
N P N,recognitions of emotions
A N P N,automated recognitions of emotions
A N,artificial intelligences
A N,diachronic corporas
N N N,emotion detection systems
A,nonverbals
A N,present studies
A A N,average different rates
A A N,Autoassociative Neural Networks
N,LIWCS
N P N N,feasibilities of the ECPE task
N P N,resultss of emotion
N N,input frames
N,summarizations
N N,dialogue evaluations
A N N,female emotion recognizers
N N,input vectors
N N,arousal dimensions
A N N,automatic evaluation tools
N N,generation losses
N N,language modelings
N N N,emotion recognition performances
N N,time spans
A N,human ratingss
A N,historical emotions
N,F0rates
N N,master sets
N N,user emotions
N P A N,intensities of emotional expression
N N,sentiment classifications
N N,user satisfactions
N A N,LOO cross-validation methods
N N,LP analyses
A A N,neutral emotional states
N P N,contexts of an emotion
A N,physical make-ups
N P N N,sets of cause clauses
A N,common emotions
N P A N,efforts of human evaluation
N N,sentiment informations
A N N,historical sentiment informations
A N,lexical graphs
A N,strict pipelines
N N N N,emotion cause detection systems
A,unsuperviseds
N P N,classifications of emotions
N N,emotion relationss
N N,attention models
N N,data analyses
A N N,functional data analyses
N P N N,elements of the world model
A N,semantic informations
N N,speech corpora
A N,large datasets
A N,upper layers
A N,social cards
N N N,feature selection procedures
N P N N,regionss of the speech signal
N N,decision rules
A N N,neural network architectures
A,bi-directionals
A N P N,potential pairss of emotions
N N N,Spearman Rank Coefficients
N,EmoLexGIs
A N,semi-supervised methods
N N,speech recognizers
A,probabilistics
A N N,relative classification errors
A N,human speeches
A,upper-cases
A N,emotional tones
N N,vowel segments
A N,human referencess
A,non-evocatives
N P N,personalities of the speaker
A,text-baseds
N P N,properties of interest
A A N N,speech-based natural language generations
A,Inter-CE-Bounds
N N,pitch periods
A,word-levels
A N,CNN models
N,hyperparameters
A,GPT-2S
A N,sequence-level emotions
A N,emotional contents
N N,term-emotion pairs
A,cross-entropies
A N,pre-trained models
N N,inter-annotator agreements
N,TensorFlows
A,clause-levels
N,word-emotions
N,baselines
A,cross-validations
N,emotions
N N,root nodes
N N,research areas
A A N,simple linear classifications
N C A N,selection and backward eliminations
N N,convolution layers
N V A,results are consistents
N N,forest structures
N P N,pairs of items
N P A N,pairss of distinct items
A N,linear transformations
A N,synchronic evaluations
A N N,final softmax layers
N A N,mel-frequency cepstral coefficientss
A N N,full seed sets
A N,previous studies
A N,impulse-like excitations
N,cognitions
A N N,distant supervision approaches
A N,embedding-based metricss
A N,propositional statementss
A N,gender-dependent emotions
N N,emotion tags
N N,NLG systems
N N,testing corpora
A N,two-step frameworks
N P A N,instantss of significant excitation
A N,emotional tendencies
N P N,domains of children
N N,Event Analyses
A N N,original beam searches
N N,background moods
N N,annotation schemes
A N,combined trainings
N C N N,energy and pitch contours
N P A N,notions of basic emotions
N P A N,qualities of emotional expression
N,METEORS
N P A N,approximations of the Pareto set
N,cosines
A N,enhanced versions
N N,emotion factors
N N,Twitter APIS
A N N,Natural Science Foundations
N,Initializations
A N,lower ranges
A,numerics
A N,unsupervised methods
N N,focus sentences
N P A N,shades of the lexical item
A N N,individual emotion extractions
A N P N,emotional affinities of sentences
A A N,top ranking systems
A N,interactive machines
N P N,sets of tuples
A,multi-modals
N N,noise ratios
A N,best-first searches
N N P N,complexity natures of emotion
N N,adaptation intervals
A N,emotional behaviors
A N,consistent evaluations
A N N,distant supervision methods
A N,Bi-LSTM classifiers
A N P N N,larger numbers of affect lexicons
A N,reset gates
N N,feature subsystems
A N,emotional conversation
A A N,gold standard lexicons
N,mini-batches
A N,Base Features
A N N N,human speech production mechanisms
N,integers
N P N N,distributions of the i-th clause
A N,supervised machines
N P N,detections of emotion
A N N,early representative works
A N,content wordss
A N,empathic generations
N P N,windows of size
A N,semantic inputs
N N,dropout rates
N P N,meanings of the sentences
A N,large corpora
A N,statistical descriptions
N N,Resources allocations
A N,ER performances
N N,word-context pairs
N N,application areas
A,deltas
N N,Problem Definitions
N N,transition matrices
A N,simple classifiers
N N P N,VAD models of emotion
N N,word polarities
A N,seq2seq tasks
A N,average results
N N,polarity inductions
N N P N,input sequences of Model
N P A N,outputs of neural network
N N,rating points
A,human-likes
A N,best correlations
N,Multi-kernels
A N N,neutral speech informations
A N P N,extensive analyses of the annotations
N N,data tests
N N,emotion perceptions
N N,plot developments
A N,literary textss
N P N,categories of emotion
N N,target words
N N,validation samples
N N,classification algorithms
N N,focus clauses
N N,conversation corpora
N N,sign tests
N N N,target language stages
A N,average numbers
N P A N,probabilities with the best model
N N,emoprepend models
A N,current populations
N N N,crossover operator types
N P N,dimensions of word
A N,beneficial features
N P A N,informations of neutral speech
N P N,emotionss of the speaker
A N,important cues
A N,global guidances
N N N,target term-emotion pairs
A N,outs-of-core classifiers
N N,ZFF signals
N N N,extract match ratios
A N,2nd Experiments
N N,emotion modelings
N A N,pitch synchronous analyses
A N,unrated words
A N N,hidden Markov models
N P N,feelers of an emotion
N N,knowledge bases
N P N N,lists of cause candidates
N N,multi-label approaches
N N,vector representations
A N,diachronic settingss
N P N,improvements of Inter-CE
N N,split-half reliabilities
N N,dialogue generations
A N,unique labels
A N,emotional inputs
N,crowdsourcings
N N,models emotions
A N,psychological researches
A N,affective informations
N N,feature representations
N N,search spaces
A N,average scores
N N,sentence lengths
A N,binary strings
A,two-levels
A N N,Higher readability scoreses
A N N,Emotional language generations
N P A N,presences of causal relations
N P N N,sets of speech signal
A N,single utterances
A N,primary effects
N P N,distributions of the feature
N N,testing sets
N P N,characteristicss of voice
A N,arbitrary baselines
R,iterativelies
N P N,effectss of emotion
A N,critical issues
A N,conceivable surrogates
A N,uniform distributions
N P N,amounts of individuals
A A N,probabilistic neural networks
A N,F1 measures
N P N,setss of rankings
N,Farringtons
A N,real-time performances
N P A N,results of the automatic evaluation
A N,gender-independent classifications
N P N,genders of speakers
N N N,emotion recognition procedures
N,taxonomies
N,negations
N N N,case frame structures
N N,outs-of-domain data
A N,efficient features
N N,feature streamss
A N,vocal cues
A N,upper-case words
A N,emotional databases
R A N,substantially larger numbers
N N,human-machine dialogues
A N,human preferences
A N,vectorial emotions
N N,confusion matrices
N N,sampling rates
A N,prompt words
A N,manual inspections
A N,careful investigations
A N N,vocal fold vibrations
N N,recognition modules
N P N N,sets of emotion clauses
A N,suprasegmental levels
A N N,malicious data entries
N N N,Movie Review datasets
A N,binary tags
A N,personal spaces
N P N,emotions of joy
A N,expanded sets
N N,SVM baselines
A N,high intensities
N P N,patients of the event
A,Audio-Visuals
N N,training materials
A N N,highest classification accuracies
N,wizards-of-oz
A N,weighted averages
A N,unified frameworks
N P N,kinds of comparison
A N P N,highest amounts of emotion
A N,direct speech
N P N N,predictionss of cause extraction
N N,speaker recognitions
N N,density functions
N N,hashtag forms
A N,prior researches
A N N,emotional chat machines
N P N,contexts of the conversation
N N,recognition stages
N N P N,block diagrams of the feature
N P N,abilities of the model
A N P N,lowest amounts of emotion
A N,contemporary datasets
A N,causal relationships
N N,single-label classifications
A N,emotional situations
N N,Sentiment Inferences
N C A N,features and structural featuress
N P N,degrees of control
A N,pitch-related featuress
N N,transformer architectures
N N,training objectives
N N,wLPCC vectors
A N,separated tunings
N P N,probabilities of the output
A N,bottom-line competitions
N,F1rates
N P N N,differences of the output probability
N N N,gender detection systems
A N N N,text-based emotion prediction problems
N,alternations
A N N,deep memory networks
A N,non-verbal behaviors
N N,emotion interactions
A N,strong emotions
A N,Seq2Seq models
N N,training processes
A N,non-verbal descriptions
N N,generation method
A N,previous researches
A N,specific feelings
N C A N,speech and neutral speeches
N N,speech frames
N P A N,deviationss of emotional speech
A N N,limited seed sets
N N,polarity regressions
N N,pair filters
N N,parameter settingss
R,linearlies
N N,annotator pairs
A N,single filters
N C N N,Emotion and Cause Extractions
A N,positive emotions
N N N,evaluation data conditions
N,NRC-EmoLexes
A N,intense emotionss
A A N,deep neural networks
N N,loss functions
A N,linguistic units
N N,batch size
N N,information contents
N,F-scoreses
N N,SVM regressions
N N,regularization parameters
N N,AMT workerss
N P N,sources of excitation
N,negativities
N N,emotion identifications
A C A N N,male and female emotion classifications
N P N N,descriptions of character emotions
A A N,raw audio inputs
N P N,framess of an utterance
N,dimensionalities
N V A,problem is conventionals
N N,VAM databases
A N,large collections
N P N,diversities of responses
A N,similar prosodies
N V A,sentence is emotionals
A N N,highest emotion scores
N P N,rates of pitch
N,thesauruses
N,extractions
N,classifications
N N,probability distributions
A N,automatic recognitions
N N,Emotion-Channel associationss
N N,circumplex models
N N,word-emotion associations
N,word-contexts
N N,TEP problems
A N,official submissions
N N N,text generation models
A N,emotional generations
N N,i-th clauses
A A N,feed-forward neural networks
N N,text instances
A N,benchmark datasets
N N,NLPCC datasets
A N N,gender-dependent emotion recognizers
N P N,forms of hashtags
N,correlations
N,endpoint
N,evaluations
N,verbs
A,n-tuples
N,propagations
N P N,cultivations of talent
N,degenerations
A N,emotional evaluations
A,sense-inventories
A N,high-quality emotions
N,lab-conditions
N,metadatas
A,folk-tales
N,defense
